"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ACMG69KK","journalArticle","2020","Moseley, Ben; Nissen-Meyer, Tarje; Markham, Andrew","Deep learning for fast simulation of seismic waves in complex media","Solid Earth","","1869-9510","10.5194/se-11-1527-2020","https://se.copernicus.org/articles/11/1527/2020/","The simulation of seismic waves is a core task in many geophysical applications. Numerical methods such as finite difference (FD) modelling and spectral element methods (SEMs) are the most popular techniques for simulating seismic waves, but disadvantages such as their computational cost prohibit their use for many tasks. In this work, we investigate the potential of deep learning for aiding seismic simulation in the solid Earth sciences. We present two deep neural networks which are able to simulate the seismic response at multiple locations in horizontally layered and faulted 2-D acoustic media an order of magnitude faster than traditional finite difference modelling. The first network is able to simulate the seismic response in horizontally layered media and uses a WaveNet network architecture design. The second network is significantly more general than the first and is able to simulate the seismic response in faulted media with arbitrary layers, fault properties and an arbitrary location of the seismic source on the surface of the media, using a conditional autoencoder design. We test the sensitivity of the accuracy of both networks to different network hyperparameters and show that the WaveNet network can be retrained to carry out fast seismic inversion in the same media. We find that are there are challenges when extending our methods to more complex, elastic and 3-D Earth models; for example, the accuracy of both networks is reduced when they are tested on models outside of their training distribution. We discuss further research directions which could address these challenges and potentially yield useful tools for practical simulation tasks.","2020-08-24","2024-11-28 23:35:01","2025-02-26 19:58:49","2024-08-17 18:17:06","1527-1549","","4","11","","","","","","","","","","English","","","","","Copernicus Online Journals","","Cited by - 80","","C:\Users\orincon\Zotero\storage\K44UUPV7\Moseley et al. - 2020 - Deep learning for fast simulation of seismic waves.pdf","","Neural Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AHI4VMQU","journalArticle","2022","Feng, Yinan; Chen, Yinpeng; Feng, Shihang; Jin, Peng; Liu, Zicheng; Lin, Youzuo","An Intriguing Property of Geophysics Inversion","arXiv (Cornell University)","","","10.48550/arxiv.2204.13731","https://doi.org/10.48550/arxiv.2204.13731","Inversion techniques are widely used to reconstruct subsurface physical properties (e.g., velocity, conductivity) from surface-based geophysical measurements (e.g., seismic, electric/magnetic (EM) data). The problems are governed by partial differential equations (PDEs) like the wave or Maxwell's equations. Solving geophysical inversion problems is challenging due to the ill-posedness and high computational cost. To alleviate those issues, recent studies leverage deep neural networks to learn the inversion mappings from measurements to the property directly. In this paper, we show that such a mapping can be well modeled by a very shallow (but not wide) network with only five layers. This is achieved based on our new finding of an intriguing property: a near-linear relationship between the input and output, after applying integral transform in high dimensional space. In particular, when dealing with the inversion from seismic data to subsurface velocity governed by a wave equation, the integral results of velocity with Gaussian kernels are linearly correlated to the integral of seismic data with sine kernels. Furthermore, this property can be easily turned into a light-weight encoder-decoder network for inversion. The encoder contains the integration of seismic data and the linear transformation without need for fine-tuning. The decoder only consists of a single transformer block to reverse the integral of velocity. Experiments show that this interesting property holds for two geophysics inversion problems over four different datasets. Compared to much deeper InversionNet, our method achieves comparable accuracy, but consumes significantly fewer parameters.","2022-01-01","2024-09-04 23:15:59","2024-11-27 16:05:21","","","","","","","","","","","","","","","en","","","","","","","Cited by - 2 - Preprint - 6 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\GW5QZ4T8\Feng et al. - 2022 - An Intriguing Property of Geophysics Inversion.pdf","","Geophysical Imaging; Geophysical Inversion; Inverse Problems; Inversion; Seismic Waveform Inversion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AYHBI7LU","preprint","2024","Alfarhan, Mustafa; Ravasi, Matteo; Chen, Fuqiang; Alkhalifah, Tariq","Robust Full Waveform Inversion with deep Hessian deblurring","","","","10.48550/arXiv.2403.17518","http://arxiv.org/abs/2403.17518","Full Waveform Inversion (FWI) is a technique widely used in geophysics to obtain high-resolution subsurface velocity models from waveform seismic data. Due to its large computation cost, most flavors of FWI rely only on the computation of the gradient of the loss function to estimate the update direction, therefore ignoring the contribution of the Hessian. Depending on the level of computational resources one can afford, an approximate of the inverse of the Hessian can be calculated and used to speed up the convergence of FWI towards the global (or a plausible local) minimum. In this work, we propose to use an approximate Hessian computed from a linearization of the wave-equation as commonly done in Least-Squares Migration (LSM). More precisely, we rely on the link between a migrated image and a doubly migrated image (i.e., an image obtained by demigration-migration of the migrated image) to estimate the inverse of the Hessian. However, instead of using non-stationary compact filters to link the two images and approximate the Hessian, we propose to use a deep neural network to directly learn the mapping between the FWI gradient (output) and its Hessian (blurred) counterpart (input). By doing so, the network learns to act as an approximate inverse Hessian: as such, when the trained network is applied to the FWI gradient, an enhanced update direction is obtained, which is shown to be beneficial for the convergence of FWI. The weights of the trained (deblurring) network are then transferred to the next FWI iteration to expedite convergence. We demonstrate the effectiveness of the proposed approach on two synthetic datasets and a field dataset.","2024-03-26","2024-09-04 19:44:37","2024-11-27 16:05:02","2024-09-04 19:44:37","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Cited by - 0 - Preprint - 10 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\GRELKJQF\Alfarhan et al. - 2024 - Robust Full Waveform Inversion with deep Hessian d.pdf; C:\Users\orincon\Zotero\storage\HAASCAUN\2403.html","","","Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2403.17518","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G798RUZK","preprint","2021","Yang, Fangshu; Ma, Jianwei","Revisit Geophysical Imaging in A New View of Physics-informed Generative Adversarial Learning","","","","10.48550/arXiv.2109.11452","http://arxiv.org/abs/2109.11452","Seismic full waveform inversion (FWI) is a powerful geophysical imaging technique that produces high-resolution subsurface models by iteratively minimizing the misfit between the simulated and observed seismograms. Unfortunately, conventional FWI with least-squares function suffers from many drawbacks such as the local-minima problem and computation of explicit gradient. It is particularly challenging with the contaminated measurements or poor starting models. Recent works relying on partial differential equations and neural networks show promising performance for two-dimensional FWI. Inspired by the competitive learning of generative adversarial networks, we proposed an unsupervised learning paradigm that integrates wave equation with a discriminate network to accurately estimate the physically consistent models in a distribution sense. Our framework needs no labelled training data nor pretraining of the network, is flexible to achieve multi-parameters inversion with minimal user interaction. The proposed method faithfully recovers the well-known synthetic models that outperforms the classical algorithms. Furthermore, our work paves the way to sidestep the local-minima issue via reducing the sensitivity to initial models and noise.","2021-09-23","2024-09-04 19:47:01","2024-11-27 16:04:41","2024-09-04 19:47:01","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Cited by - 3 - Preprint - 13 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\DFMNYYLN\Yang y Ma - 2021 - Revisit Geophysical Imaging in A New View of Physi.pdf; C:\Users\orincon\Zotero\storage\YL4LKJAX\2109.html","","","Computer Science - Machine Learning; Computer Science - Computer Vision and Pattern Recognition; Electrical Engineering and Systems Science - Image and Video Processing","","","","","","","","","","","","","","","","","","","arXiv:2109.11452","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6NN3TWIF","preprint","2023","Zou, Caifeng; Azizzadenesheli, Kamyar; Ross, Zachary E.; Clayton, Robert W.","Deep Neural Helmholtz Operators for 3D Elastic Wave Propagation and Inversion","","","","10.48550/arXiv.2311.09608","http://arxiv.org/abs/2311.09608","Numerical simulations of seismic wave propagation in heterogeneous 3D media are central to investigating subsurface structures and understanding earthquake processes, yet are computationally expensive for large problems. This is particularly problematic for full waveform inversion, which typically involves numerous runs of the forward process. In machine learning there has been considerable recent work in the area of operator learning, with a new class of models called neural operators allowing for data-driven solutions to partial differential equations. Recent works in seismology have shown that when neural operators are adequately trained, they can significantly shorten the compute time for wave propagation. However, the memory required for the 3D time domain equations may be prohibitive. In this study, we show that these limitations can be overcome by solving the wave equations in the frequency domain, also known as the Helmholtz equations, since the solutions for a set of frequencies can be determined in parallel. The 3D Helmholtz neural operator is 40 times more memory-efficient than an equivalent time-domain version. We employ a U-shaped neural operator for 2D and 3D elastic wave modeling, achieving two orders of magnitude acceleration compared to a baseline spectral element method. The neural operator accurately generalizes to variable velocity structures and can be evaluated on denser input meshes than used in the training simulations. We also show that when solving for wavefields strictly on the surface, the accuracy can be significantly improved via a graph neural operator layer. In leveraging automatic differentiation, the proposed method can serve as an alternative to the adjoint-state approach for 3D full-waveform inversion, reducing the computation time by a factor of 350.","2023-11-16","2024-09-04 19:52:43","2024-11-27 16:04:26","2024-09-04 19:52:43","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Cited by - 1 - Preprint - 21 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\3ZLHGKCL\Zou et al. - 2023 - Deep Neural Helmholtz Operators for 3D Elastic Wav.pdf; C:\Users\orincon\Zotero\storage\GRW58A47\2311.html","","","Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2311.09608","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WNH4P9ZQ","journalArticle","2021","Yang, Y.; Gao, A.F.; Castellanos, J.C.; Ross, Z.E.; Azizzadenesheli, K.; Clayton, R.W.","Seismic Wave Propagation and Inversion with Neural Operators","Seismic Record","","","10.1785/0320210026","","Seismic wave propagation forms the basis for most aspects of seismological research, yet solving the wave equation is a major computational burden that inhibits the progress of research. This is exacerbated by the fact that new simulations must be performed when-ever the velocity structure or source location is perturbed. Here, we explore a prototype framework for learning general solutions using a recently developed machine learning paradigm called neural operator. A trained neural operator can compute a solution in negligible time for any velocity structure or source location. We develop a scheme to train neural operators on an ensemble of simulations performed with random velocity models and source locations. As neural operators are grid free, it is possible to evaluate solutions on higher resolution velocity models than trained on, providing additional computational efficiency. We illustrate the method with the 2D acoustic wave equation and demonstrate the method’s applicability to seismic tomography, using reverse-mode automatic differentiation to compute gradients of the wavefield with respect to the velocity structure. The developed procedure is nearly an order of magnitude faster than using conventional numerical methods for full waveform inversion. © 2021. The Authors.","2021","2024-08-28 15:42:52","2024-11-27 16:02:18","","126-134","","3","1","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 34 - 100 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\MMDFUKDX\display.html; C:\Users\orincon\Zotero\storage\D5RN3DU4\Yang et al. - 2021 - Seismic Wave Propagation and Inversion with Neural.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USZ2DSPJ","conferencePaper","2019","Campos, L.R.; Nogueira, P.; Moreira, D.; Nascimento, E.G.S.","An empirical analysis of the influence of seismic data modeling for estimating velocity models with fully convolutional networks","","","","","","Seismic modeling is the process of simulating wave propagations in a medium to represent underlying structures of a subsurface area of the earth. This modeling is based upon a wave equation and it depends on a set of parameters of the subsurface. Recent studies have demonstrated that deep learning methods can be trained with seismic data to estimate velocity models that give a representation of the subsurface where the seismic data was generated. Thus, an analysis is made on the impact that different sets of parameters have on the estimation of velocity models by a fully convolutional network (FCN). The experiments varied the number of sources among four options (1, 10, 25 or 50 shots) and used three different ranges of peak frequencies: 4, 8 and 16 Hz. The results demonstrated that, although the number of sources have more influence on the computational time needed to train the FCN than the peak frequency, both changes have significant impact on the quality of the estimation. The best estimations were obtained with the experiment of 25 sources with 4 Hz and increasing the peak frequency to 8 Hz improved even more the results, especially regarding the FCN's loss function. © 2019 by the International Institute of Informatics and Systemics.","2019","2024-08-24 17:43:28","2024-11-27 15:53:33","","93-98","","","1","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 0 - 92 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\IXSPFKK9\Campos et al. - 2019 - An empirical analysis of the influence of seismic .pdf; C:\Users\orincon\Zotero\storage\33PPBUTQ\display.html","","","Deep Learning; Fully Convolutional Networks; Geophysics; Seismic Data Analysis; Velocity Model Estimation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","WMSCI 2019 - 23rd World Multi-Conference on Systemics, Cybernetics and Informatics, Proceedings","","","","","","","","","","","","","","",""
"E5F27G6W","journalArticle","2023","Gelboim, M.; Adler, A.; Sun, Y.; Araya-Polo, M.","Encoder-Decoder Architecture for 3D Seismic Inversion","Sensors","","","10.3390/s23010061","","Inverting seismic data to build 3D geological structures is a challenging task due to the overwhelming amount of acquired seismic data, and the very-high computational load due to iterative numerical solutions of the wave equation, as required by industry-standard tools such as Full Waveform Inversion (FWI). For example, in an area with surface dimensions of 4.5 km × 4.5 km, hundreds of seismic shot-gather cubes are required for 3D model reconstruction, leading to Terabytes of recorded data. This paper presents a deep learning solution for the reconstruction of realistic 3D models in the presence of field noise recorded in seismic surveys. We implement and analyze a convolutional encoder–decoder architecture that efficiently processes the entire collection of hundreds of seismic shot-gather cubes. The proposed solution demonstrates that realistic 3D models can be reconstructed with a structural similarity index measure (SSIM) of 0.9143 (out of 1.0) in the presence of field noise at 10 dB signal-to-noise ratio. © 2022 by the authors.","2023","2024-08-24 17:42:38","2024-11-27 15:53:06","","","","1","23","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 7 - 91 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\KDI4NMI2\display.html; C:\Users\orincon\Zotero\storage\MCJIQFRM\Gelboim et al. - 2023 - Encoder–Decoder Architecture for 3D Seismic Invers.pdf","","","deep learning; seismic inversion; 3D reconstruction; encoder–decoder; inverse problems; seismic velocity; transfer learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I8NYHXED","journalArticle","2021","Freitas, R.S.M.; Barbosa, C.H.S.; Guerra, G.M.; Coutinho, A.L.G.A.; Rochinha, F.A.","An encoder-decoder deep surrogate for reverse time migration in seismic imaging under uncertainty","Computational Geosciences","","","10.1007/s10596-021-10052-3","","Seismic imaging faces challenges due to the presence of several uncertainty sources. Uncertainties exist in data measurements, source positioning, and subsurface geophysical properties. Reverse time migration (RTM) is a high-resolution depth migration approach useful for extracting information such as reservoir localization and boundaries. RTM, however, is time-consuming and data-intensive as it requires computing twice the wave equation to generate and store an imaging condition. RTM, when embedded in an uncertainty quantification algorithm (like the Monte Carlo method), shows a many-fold increase in its computational complexity due to the high input-output dimensionality. In this work, we propose an encoder-decoder deep learning surrogate model for RTM under uncertainty. Inputs are an ensemble of velocity fields, expressing the uncertainty, and outputs the seismic images. We show by numerical experimentation that the surrogate model can reproduce the seismic images accurately, and, more importantly, the uncertainty propagation from the input velocity fields to the image ensemble. © 2021, The Author(s), under exclusive licence to Springer Nature Switzerland AG.","2021","2024-08-24 17:39:18","2024-11-27 15:51:51","","1229-1250","","3","25","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 5 - 86 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\BZ28ARM5\display.html; C:\Users\orincon\Zotero\storage\3LPP73LC\Freitas et al. - 2021 - An encoder-decoder deep surrogate for reverse time.pdf","","","Deep learning; Reverse time migration; Surrogate modeling; Uncertainty quantification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HFYIV7B8","conferencePaper","2018","Wang, W.; Yang, F.; Ma, J.","Velocity model building with a modified fully convolutional network","","","","10.1190/segam2018-2997566.1","","We introduce a machine learning based method to estimate the P-wave velocity models directly from the prestack seismic traces using a modified fully convolutional network. The network is tuned to map multi-shot seismic traces to velocity models. We train the network with pairs of synthetic velocity models and their corresponding multi-shot seismic traces which are simulated from the velocity models with acoustic wave equations. Multiple shots are used as channels in the network to increase data redundancy. The training process is expensive, but it only occurs once up front. The trained network is then used to predict velocity models from testing seismic traces, and it shows satisfactory prediction results. The cost for predicting velocity models is negligible once the training is complete. © 2018 SEG","2018","2024-08-24 17:32:56","2024-11-27 15:50:57","","2086-2090","","","","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 63 - 78 - Yes - Inverse","","C:\Users\orincon\Zotero\storage\9MJVXDP8\display.html; C:\Users\orincon\Zotero\storage\SGWPKG24\Wang et al. - 2018 - Velocity model building with a modified fully conv.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SEG Technical Program Expanded Abstracts","","","","","","","","","","","","","","",""
