"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"ACMG69KK","journalArticle","2020","Moseley, Ben; Nissen-Meyer, Tarje; Markham, Andrew","Deep learning for fast simulation of seismic waves in complex media","Solid Earth","","1869-9510","10.5194/se-11-1527-2020","https://se.copernicus.org/articles/11/1527/2020/","The simulation of seismic waves is a core task in many geophysical applications. Numerical methods such as finite difference (FD) modelling and spectral element methods (SEMs) are the most popular techniques for simulating seismic waves, but disadvantages such as their computational cost prohibit their use for many tasks. In this work, we investigate the potential of deep learning for aiding seismic simulation in the solid Earth sciences. We present two deep neural networks which are able to simulate the seismic response at multiple locations in horizontally layered and faulted 2-D acoustic media an order of magnitude faster than traditional finite difference modelling. The first network is able to simulate the seismic response in horizontally layered media and uses a WaveNet network architecture design. The second network is significantly more general than the first and is able to simulate the seismic response in faulted media with arbitrary layers, fault properties and an arbitrary location of the seismic source on the surface of the media, using a conditional autoencoder design. We test the sensitivity of the accuracy of both networks to different network hyperparameters and show that the WaveNet network can be retrained to carry out fast seismic inversion in the same media. We find that are there are challenges when extending our methods to more complex, elastic and 3-D Earth models; for example, the accuracy of both networks is reduced when they are tested on models outside of their training distribution. We discuss further research directions which could address these challenges and potentially yield useful tools for practical simulation tasks.","2020-08-24","2024-11-28 23:35:01","2025-02-26 19:58:49","2024-08-17 18:17:06","1527-1549","","4","11","","","","","","","","","","English","","","","","Copernicus Online Journals","","Cited by - 80","","C:\Users\orincon\Zotero\storage\K44UUPV7\Moseley et al. - 2020 - Deep learning for fast simulation of seismic waves.pdf","","Neural Networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NF5UUJBE","journalArticle","2021","Roncoroni, G.; Fortini, C.; Bortolussi, L.; Bienati, N.; Pipan, M.","Synthetic seismic data generation with deep learning","Journal of Applied Geophysics","","","10.1016/j.jappgeo.2021.104347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105485680&doi=10.1016%2fj.jappgeo.2021.104347&partnerID=40&md5=3af63ea8d2d493d495bf417521183cfa","","2021","2024-07-24 21:50:23","2024-11-26 21:55:37","","","","","190","","","","","","","","","","","","","Scopus","","","","Cited by - 4  - 1 - Yes - Forward","","C:\Users\orincon\Zotero\storage\2JJC8FGM\display.html; C:\Users\orincon\Zotero\storage\6LDFXL6L\display.html; C:\Users\orincon\Zotero\storage\M299LHKD\Roncoroni et al. - 2021 - Synthetic seismic data generation with deep learni.pdf","","Machine learning; Deep learning; Comparative; Reflection seismic; RNN; Seismic modelling; Synthetic seismogram","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HJDJCUHK","preprint","2024","Lehmann, Fanny; Gatti, Filippo; Clouteau, Didier","Multiple-Input Fourier Neural Operator (MIFNO) for source-dependent 3D elastodynamics","","","","10.48550/arXiv.2404.10115","http://arxiv.org/abs/2404.10115","Numerical simulations are essential tools to evaluate the solution of the wave equation in complex settings, such as three-dimensional (3D) domains with heterogeneous properties. However, their application is limited by high computational costs and existing surrogate models lack the flexibility of numerical solvers. This work introduces the Multiple-Input Fourier Neural Operator (MIFNO) to deal with structured 3D fields representing material properties as well as vectors describing the source characteristics. The MIFNO is applied to the problem of elastic wave propagation in the Earth's crust. It is trained on the HEMEW^S-3D database containing 30000 earthquake simulations in different heterogeneous domains with random source positions and orientations. Outputs are time- and space-dependent surface wavefields. The MIFNO predictions are assessed as good to excellent based on Goodness-Of-Fit (GOF) criteria. Wave arrival times and wave fronts' propagation are very accurate since 80% of the predictions have an excellent phase GOF. The fluctuations amplitudes are good for 87% of the predictions. The envelope score is hindered by the small-scale fluctuations that are challenging to capture due to the complex physical phenomena associated with high-frequency features. Nevertheless, the MIFNO can generalize to sources located outside the training domain and it shows good generalization ability to a real complex overthrust geology. When focusing on a region of interest, transfer learning improves the accuracy with limited additional costs, since GOF scores improved by more than 1 GOF unit with only 500 additional specific samples. The MIFNO is the first surrogate model offering the flexibility of an earthquake simulator with varying sources and material properties. Its good accuracy and massive speed-up offer new perspectives to replace numerical simulations in many-query problems.","2024-04-15","2024-09-04 19:54:39","2024-11-26 21:51:08","2024-09-04 19:54:39","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Cited by - 0 - Preprint - 22 - Yes - Forward","","C:\Users\orincon\Zotero\storage\XWEX83JI\Lehmann et al. - 2024 - Multiple-Input Fourier Neural Operator (MIFNO) for.pdf; C:\Users\orincon\Zotero\storage\GHCNY9GA\2404.html","","","Computer Science - Machine Learning; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2404.10115","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I86SGPQ7","journalArticle","2024","Zou, J.; Liu, C.; Zhao, P.; Song, C.","Seismic Wavefields Modeling With Variable Horizontally Layered Velocity Models via Velocity-Encoded PINN","IEEE Transactions on Geoscience and Remote Sensing","","","10.1109/TGRS.2024.3411472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195415018&doi=10.1109%2fTGRS.2024.3411472&partnerID=40&md5=6f7e5041e2a7ca3d4f8ea8c3c776be15","","2024","2024-07-24 21:50:24","2024-11-26 21:50:52","","","","","62","","","","","","","","","","","","","Scopus","","","","Cited by - 2 - 15 - Yes - Forward","","C:\Users\orincon\Zotero\storage\KKNVIU5H\10551894.html; C:\Users\orincon\Zotero\storage\FWS92VRX\10551894.html; C:\Users\orincon\Zotero\storage\H42AU7CB\Zou et al. - 2024 - Seismic Wavefields Modeling With Variable Horizont.pdf","","comparative ML and SNM; Physics-informed neural network (PINN); Mathematical models; Position measurement; Propagation; Training; Numerical models; Computational modeling; seismic modeling; Time-domain analysis; variable velocity models; velocity-encoded (VE) strategy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98QQB78B","journalArticle","2022","Xiong, F.; Liu, J.; Guo, Z.; Liu, J.","Deep-neural-networks-based approaches for Biot–squirt model in rock physics","Acta Geophysica","","","10.1007/s11600-022-00740-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124572610&doi=10.1007%2fs11600-022-00740-8&partnerID=40&md5=92c67ecd7a754c1f6a3297a92a466af5","A new cost-effective surrogate model using deep neural network (DNN) for seismic wave propagation in rocks saturated with fluid is presented. In this field, the dispersion/attenuation analysis and wave-field simulation are two key measurements which can be carried out by solving wave equations. The Biot–squirt (BISQ) equation is a classical wave propagation model in geophysical forward modeling and has been widely used. The solution of such equation, especially by numerical method, is often complex and time-consuming. In this work, a DNN model is trained with the dataset of velocity and inverse quality factor generated from BISQ model. The results show that the relative mean square error between the predictions of DNN model and that of BISQ model on the test sets are all less than 3%. It indicates that the DNN model has learned the high-dimensional space well and then can realize the dispersion/attenuation analysis for any given rock physical parameters. Besides, the other well-trained DNN model is used to obtain the simulation results with second-order accuracy according to results by finite difference scheme with first-order accuracy. It reveals that the fast wave-field simulation can be implemented once the results with lower accuracy are obtained.","2022","2024-07-24 21:50:24","2024-11-26 21:50:34","","593-607","","2","70","","","","","","","","","","","","","Scopus","","","","Cited by - 2 - 33 - Yes- Forward","","C:\Users\orincon\Zotero\storage\2DASUSEX\display.html; C:\Users\orincon\Zotero\storage\TK7DMNLD\Xiong et al. - 2022 - Deep-neural-networks-based approaches for Biot–squ.pdf; C:\Users\orincon\Zotero\storage\Y44A94F8\Xiong et al. - 2022 - Deep-neural-networks-based approaches for Biot–squ.pdf","","","Deep neural network; Dispersion and attenuation; Numerical simulation; Training and test; Wave propagation model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BFBQGF7P","journalArticle","2024","Ji, Duofa; Li, Chenxi; Zhai, Changhai; Cao, Zelin","An Efficient Platform for Numerical Modeling of Partial Differential Equations","IEEE Transactions on Geoscience and Remote Sensing","","1558-0644","10.1109/TGRS.2024.3409620","https://ieeexplore.ieee.org/document/10549528","Solving partial differential equations (PDEs) is a fundamental task for computational electromagnetic and mechanical wave modeling, which hold utmost significance in remote sensing and geophysics. The importance of efficient PDEs solving methods lies in their ability to provide rapid simulations and real-time predictions. However, as the scale and dimensionality of the problems increase, the efficiency of current numerical methods becomes a concern. Therefore, this study leverages the inherent connection between the temporal-spatial stepping processes and recurrent neural networks (RNNs) as well as convolutional layers (CLs) to propose a general-purpose recurrent convolutional neural network (RCNN) platform for solving PDEs. The RCNN platform rigorously executes the temporal-spatial iterations involved in discretized forms of PDEs. Furthermore, benefiting from the latest advancements in deep learning, the platform enhances the efficiency of convolutional computations. By applying the RCNN platform to electromagnetic, acoustic wave, and seismic wave modeling, among others, its reliability and high efficiency in solving various high-dimensional PDEs are demonstrated.","2024","2024-08-22 00:04:42","2024-11-26 21:50:09","2024-08-14","1–13","","","62","","","","","","","","","","","","","","","","","Cited by - 10 - 2 - Yes - Forward","","C:\Users\orincon\Zotero\storage\L8CAZT8D\10549528.html; C:\Users\orincon\Zotero\storage\XWIV5JFX\Ji et al. - 2024 - An Efficient Platform for Numerical Modeling of Pa.pdf","","Partial differential equations; Mathematical models; partial differential equations (PDEs); Acoustic waves; Comparative; Efficient numerical modeling; machine learning framework; Magnetic fields; Numerical models; recurrent convolutional neural network (RCNN); Seismic waves; Three-dimensional displays","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6K6GJEK7","journalArticle","2018","Das, S.; Chen, X.; Hobson, M.P.; Phadke, S.; van Beest, B.; Goudswaard, J.; Hohl, D.","Surrogate regression modelling for fast seismogram generation and detection of microseismic events in heterogeneous velocity models","Geophysical Journal International","","","10.1093/GJI/GGY283","","Given a 3D heterogeneous velocity model with a fewmillion voxels, fast generation of accurate seismic responses at specified receiver positions from known microseismic event locations is a well-known challenge in geophysics, since it typically involves numerical solution of the computationally expensive elastic wave equation. Thousands of such forward simulations are often a routine requirement for parameter estimation of microseimsic events via a suitable source inversion process. Parameter estimation based on forward modelling is often advantageous over a direct regression-based inversion approach when there are unknown number of parameters to be estimated and the seismic data have complicated noise characteristics which may not always allow a stable and unique solution in a direct inversion process. In this paper, starting from Graphics Processing Unit based synthetic simulations of a few thousand forward seismic shots due to microseismic events via pseudo-spectral solution of elastic wave equation, we develop a step-by-step process to generate a surrogate regression modelling framework, using machine learning techniques that can produce accurate seismograms at specified receiver locations. The trained surrogate models can then be used as a high-speed meta-model/emulator or proxy for the original full elastic wave propagator to generate seismic responses for other microseismic event locations also. The accuracies of the surrogate models have been evaluated using two independent sets of training and testing Latin hypercube quasi-random samples, drawn from a heterogeneous marine velocity model. The predicted seismograms have been used thereafter to calculate batch likelihood functions, with specified noise characteristics. Finally, the trained models on 23 receivers placed at the sea-bed in a marine velocity model are used to determine the maximum likelihood estimate of the event locations which can in future be used in a Bayesian analysis for microseismic event detection. © The Author(s) 2018.","2018","2024-08-24 17:27:17","2024-11-26 21:49:08","","1257-1290","","2","215","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 15 - 76 - Yes - Forward","","C:\Users\orincon\Zotero\storage\2H72UXL7\display.html; C:\Users\orincon\Zotero\storage\W7ZK9TN4\Das et al. - 2018 - Surrogate regression modelling for fast seismogram.pdf","","computational seismology","Joint inversion; Seismic noise; Statistical methods; Statistical seismology; Time-series analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"69VHFYSH","journalArticle","2023","Yang, Y.; Gao, A.F.; Azizzadenesheli, K.; Clayton, R.W.; Ross, Z.E.","Rapid Seismic Waveform Modeling and Inversion With Neural Operators","IEEE Transactions on Geoscience and Remote Sensing","","","10.1109/TGRS.2023.3264210","","Seismic waveform modeling is a powerful tool for determining earth structure models and unraveling earthquake rupture processes, but it is usually computationally expensive. We introduce a scheme to vastly accelerate these calculations with a recently developed machine learning paradigm called the neural operator. Once trained, these models can simulate a full wavefield at negligible cost. We use a U-shaped neural operator to learn a general solution operator to the 2-D elastic wave equation from an ensemble of numerical simulations performed with random velocity models and source locations. We show that full-waveform modeling with neural operators is nearly two orders of magnitude faster than conventional numerical methods, and more importantly, the trained model enables accurate simulation for velocity models, source locations, and mesh discretization distinctly different from the training dataset. The method also enables convenient full-waveform inversion with automatic differentiation. © 1980-2012 IEEE.","2023","2024-08-24 17:26:53","2024-11-26 21:48:38","","","","","61","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 19 - 75 - Yes - Forward","","C:\Users\orincon\Zotero\storage\VN4VT3EB\display.html; C:\Users\orincon\Zotero\storage\QDNE2LY6\Yang et al. - 2023 - Rapid Seismic Waveform Modeling and Inversion With.pdf","","","machine learning; Full-waveform inversion; geophysics; partial differential equations (PDEs); waveform modeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9I4CWYIK","journalArticle","2022","Song, C.; Wang, Y.","High-frequency wavefield extrapolation using the Fourier neural operator","Journal of Geophysics and Engineering","","","10.1093/jge/gxac016","","In seismic wave simulation, solving the wave equation in the frequency domain requires calculating the inverse of the impedance matrix. The total cost strictly depends on the number of frequency components that are considered, if using a finite-difference method. For the applications such as seismic imaging and inversion, high-frequency information is always required and thus the wave simulation is always a challenging task as it demands tremendous computational cost for obtaining dispersion-free high-frequency wavefields for large subsurface models. This paper demonstrates that a data-driven machine learning method, called the Fourier neural operator (FNO), is capable of predicting high-frequency wavefields, based on a limited number of low-frequency components. As the FNO method is for the first time applied to seismic wavefield extrapolation, the experiment reveals three attractive features with FNO: high efficiency, high accuracy and, importantly, the predicted high-frequency wavefields are dispersion free. © 2022 The Author(s) 2022. Published by Oxford University Press on behalf of the Sinopec Geophysical Research Institute.","2022","2024-08-28 15:41:59","2024-11-26 21:48:16","","269-282","","2","19","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 16 - 98 - Yes - Forward","","C:\Users\orincon\Zotero\storage\3J8E9I8F\display.html; C:\Users\orincon\Zotero\storage\DEUKJ4JX\Song y Wang - 2022 - High-frequency wavefield extrapolation using the F.pdf","","","machine learning; Fourier neural operator; dispersion free; high-frequency wavefield; wavefield extrapolation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6AVNRUH","journalArticle","2023","Song, C.; Wang, Y.","Simulating seismic multifrequency wavefields with the Fourier feature physics-informed neural network","Geophysical Journal International","","","10.1093/gji/ggac399","","To simulate seismic wavefields with a frequency-domain wave equation, conventional numerical methods must solve the equation sequentially to obtain the wavefields for different frequencies. The monofrequency equation has the form of a Helmholtz equation. When solving the Helmholtz equation for seismic wavefields with multiple frequencies, a physics-informed neural network (PINN) can be used. However, the PINN suffers from the problem of spectral bias when approximating high-frequency components. We propose to simulate seismic multifrequency wavefields using a PINN with an embedded Fourier feature. The input to the Fourier feature PINN for simulating multifrequency wavefields is 4-D, namely the horizontal and vertical spatial coordinates of the model, the horizontal position of the source, and the frequency, and the output is multifrequency wavefields at arbitrary source positions. While an effective Fourier feature initialization strategy can lead to optimal convergence in training this network, the Fourier feature PINN simulates multifrequency wavefields with reasonable efficiency and accuracy. © 2022 The Author(s). Published by Oxford University Press on behalf of The Royal Astronomical Society.","2023","2024-08-24 15:59:20","2024-11-26 21:46:59","","1503-1514","","3","232","","","","","","","","","","","","","Scopus","","Scopus","","Cited by - 29 - 26 - Yes - Forward","","C:\Users\orincon\Zotero\storage\8NITH6KN\display.html; C:\Users\orincon\Zotero\storage\J9HIW8DA\Song y Wang - 2023 - Simulating seismic multifrequency wavefields with .pdf","","","Wave propagation; Neural networks, fuzzy logic; Numerical modeling; Physics-informed neural network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
