Item Type,Publication Year,Title,Author,Source
journalArticle,2024,A Physics-guided Generative AI Toolkit for Geophysical Monitoring,"Yang, Junhuan; Wang, Hanchen; Sheng, Yi; Lin, Youzuo; Yang, Lei",arXiv (Cornell University)
journalArticle,2024,A deep learning-based earthquake simulator: from source and geology to surface wavefields,"Lehmann, Fanny; Gatti, Filippo; Bertin, Michaël; Clouteau, Didier",
journalArticle,2024,Adaptive-Sampling Physics-Informed Neural Network for Viscoacoustic Wavefield Simulation,"Zhao, H.; Hao, Y.; Xu, W.; Li, C.",IEEE Geoscience and Remote Sensing Letters
journalArticle,2024,An Efficient Platform for Numerical Modeling of Partial Differential Equations,"Ji, Duofa; Li, Chenxi; Zhai, Changhai; Cao, Zelin",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2024,Deep Learning-Based Data-Driven P-/S-Wave Vector Decomposition for Multicomponent Seismic Data,"Li, Chunlong; Zhang, Huai; Zhang, Wei; Gao, Jinghuai; Wang, Zhiguo",IEEE Transactions on Geoscience and Remote Sensing
preprint,2024,Diffusion-based subsurface multiphysics monitoring and forecasting,"Huang, Xinquan; Wang, Fu; Alkhalifah, Tariq",arXiv
journalArticle,2024,Enabling Uncertainty Quantification in a standard Full Waveform Inversion method using Normalizing Flows,"Sun, Changxiao; Malcolm, Alison; Kumar, Rajiv; Mao, Weijian",Geophysics
journalArticle,2024,Improving Distributed Acoustic Sensing Data Quality with Self-Supervised Learning,"Ma, Haitao; Zhou, Shijie; Wang, Yibo; Wu, Ning; Li, Yue; Tian, Yanan",IEEE Geoscience and Remote Sensing Letters
journalArticle,2024,Low-frequency marine seismic data reconstruction based on the far-field signature using a modified U-Net,"Park, Y.; Moon, H.-J.; Pyun, S.",Exploration Geophysics
preprint,2024,Multiple-Input Fourier Neural Operator (MIFNO) for source-dependent 3D elastodynamics,"Lehmann, Fanny; Gatti, Filippo; Clouteau, Didier",arXiv
journalArticle,2024,On the numerical resolution of the second-order viscoacoustic and viscoelastic anisotropic wave equations using the recursive convolution method,"Jin, C.; Zhou, B.; Riahi, M.K.; Zemerly, M.J.; Cao, D.",Computers and Geosciences
journalArticle,2024,PINNslope: Seismic data interpolation and local slope estimation with physics informed neural networks,"Brandolin, Francesco; Ravasi, Matteo; Alkhalifah, Tariq",Geophysics
journalArticle,2024,Parametric elastic full waveform inversion with convolutional neural network,"Guo, K.; Zong, Z.; Yang, J.; Tan, Y.",Acta Geophysica
preprint,2024,Physics-Informed Neural Networks with Fourier Features for Seismic Wavefield Simulation in Time-Domain Nonsmooth Complex Media,"Ding, Yi; Su, Chen; Miyake, Hiroe; Li, Xiaojun",
journalArticle,2024,Robust Full Waveform Inversion with deep Hessian deblurring,"Alfarhan, Mustafa; Ravasi, Matteo; Chen, Fuqiang; Alkhalifah, Tariq",arXiv (Cornell University)
journalArticle,2024,Scattering on the cloud: scaling-up wave physics computations,"Vettenburg, Tom; Valantinas, Laurynas",
journalArticle,2024,Seismic Velocity Inversion Based on Physically Constrained Neural Networks,"Zhang, Yan; Meng, Daxiang; Zhou, Yifan; Song, Liwei; Dong, Hongli",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2024,Seismic Wavefields Modeling With Variable Horizontally Layered Velocity Models via Velocity-Encoded PINN,"Zou, J.; Liu, C.; Zhao, P.; Song, C.",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2024,Shear-wave velocity prediction of tight reservoirs based on poroelasticity theory: A comparative study of deep neural network and rock physics model,"Fang, Z.; Ba, J.; Guo, Q.; Xiong, F.",Geoenergy Science and Engineering
journalArticle,2024,Underground hydrogen storage leakage detection and characterization based on machine learning of sparse seismic data,"Gao, Kai; Creasy, Neala; Huang, Lianjie; Gross, Michael",International Journal of Hydrogen Energy
journalArticle,2023,A Detailed View of the 2020–2023 Southwestern Puerto Rico Seismic Sequence with Deep Learning,"Yoon, Clara; Cochran, E.; Vanacore, Elizabeth; Huerfano, V.; Báez-Sanchez, Gisela; Wilding, John; Smith, Jonathan",Bulletin of the Seismological Society of America
journalArticle,2023,A Multi-Task Learning Framework of Stable Q-Compensated Reverse Time Migration Based on Fractional Viscoacoustic Wave Equation,"Xue, Z.; Ma, Y.; Wang, S.; Hu, H.; Li, Q.",Fractal and Fractional
journalArticle,2023,A deep learning-based inverse Hessian for Full Waveform Inversion,"Alfarhan, Mustafa; Ravasi, Matteo; Alkhalifah, Tariq",
journalArticle,2023,A study of deep neural networks for Newtonian noise subtraction at Terziet in Limburg—the Euregio Meuse-Rhine candidate site for Einstein Telescope,"van Beveren, V.; Bader, Maria; van den Brand, J.; Bulten, Henk; Campman, Xander; Koley, Soumen; Linde, Frank",Classical and Quantum Gravity
journalArticle,2023,Autoencoded Elastic Wave-Equation Traveltime Inversion: Toward Reliable Near-Surface Tomogram,"Zhang, Chang; Li, Jing; Yu, Han; Liu, Bin",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2023,Bridging the gap: Deep learning on seismic field data with synthetic training for building Gulf of Mexico velocity models,"Farris, Stuart; Clapp, Robert",
journalArticle,2023,Deep Neural Helmholtz Operators for 3D Elastic Wave Propagation and Inversion,"Zou, Caifeng; Azizzadenesheli, Kamyar; Ross, Zachary; Clayton, R.",arXiv (Cornell University)
journalArticle,2023,Domain Knowledge Informed Multitask Learning for Landslide-Induced Seismic Classification,"Li, Jiangfeng; Ye, Minxiang; Stanković, Lina; Stanković, Vladimir; Pytharouli, Stella",IEEE Geoscience and Remote Sensing Letters
journalArticle,2023,Enhancing one-way wave equation-based migration with deep learning,"Yu, Y.; Li, Y.; Wu, X.; Jia, X.",Geophysics
journalArticle,2023,FWIGAN: Full-Waveform Inversion via a Physics-Informed Generative Adversarial Network,"Yang, F.; Ma, J.",Journal of Geophysical Research: Solid Earth
