Problem Type,Item Type,Publication Year,Title,Author,Source
Forward,journalArticle,2025,Multiple-input Fourier Neural Operator (MIFNO) for source-dependent 3D elastodynamics,"Lehmann, Fanny; Gatti, Filippo; Clouteau, Didier",Journal of Computational Physics
Forward,journalArticle,2024,An Efficient Platform for Numerical Modeling of Partial Differential Equations,"Ji, Duofa; Li, Chenxi; Zhai, Changhai; Cao, Zelin",IEEE Transactions on Geoscience and Remote Sensing
Inverse,journalArticle,2024,Low-frequency marine seismic data reconstruction based on the far-field signature using a modified U-Net,"Park, Y.; Moon, H.-J.; Pyun, S.",Exploration Geophysics
Inverse,journalArticle,2024,PINNslope: Seismic data interpolation and local slope estimation with physics informed neural networks,"Brandolin, F.; Ravasi, M.; Alkhalifah, T.",Geophysics
Inverse,journalArticle,2024,Parametric elastic full waveform inversion with convolutional neural network,"Guo, K.; Zong, Z.; Yang, J.; Tan, Y.",Acta Geophysica
Inverse,preprint,2024,Robust Full Waveform Inversion with deep Hessian deblurring,"Alfarhan, Mustafa; Ravasi, Matteo; Chen, Fuqiang; Alkhalifah, Tariq",arXiv
Inverse,journalArticle,2024,Seismic Velocity Inversion Based on Physically Constrained Neural Networks,"Zhang, Y.; Meng, D.; Zhou, Y.; Song, L.; Dong, H.",IEEE Transactions on Geoscience and Remote Sensing
Forward,journalArticle,2024,Seismic Wavefields Modeling With Variable Horizontally Layered Velocity Models via Velocity-Encoded PINN,"Zou, J.; Liu, C.; Zhao, P.; Song, C.",IEEE Transactions on Geoscience and Remote Sensing
Inverse,journalArticle,2024,Shear-wave velocity prediction of tight reservoirs based on poroelasticity theory: A comparative study of deep neural network and rock physics model,"Fang, Z.; Ba, J.; Guo, Q.; Xiong, F.",Geoenergy Science and Engineering
Inverse,journalArticle,2024,Underground hydrogen storage leakage detection and characterization based on machine learning of sparse seismic data,"Gao, K.; Creasy, N.M.; Huang, L.; Gross, M.R.",International Journal of Hydrogen Energy
Inverse,journalArticle,2023,Autoencoded Elastic Wave-Equation Traveltime Inversion: Toward Reliable Near-Surface Tomogram,"Zhang, Chang; Li, Jing; Yu, Han; Liu, Bin",IEEE Transactions on Geoscience and Remote Sensing
Inverse,preprint,2023,Deep Neural Helmholtz Operators for 3D Elastic Wave Propagation and Inversion,"Zou, Caifeng; Azizzadenesheli, Kamyar; Ross, Zachary E.; Clayton, Robert W.",arXiv
Inverse,journalArticle,2023,Encoder-Decoder Architecture for 3D Seismic Inversion,"Gelboim, M.; Adler, A.; Sun, Y.; Araya-Polo, M.",Sensors
Inverse,journalArticle,2023,Memory Optimization in RNN-Based Full Waveform Inversion Using Boundary Saving Wavefield Reconstruction,"Wang, S.; Jiang, Y.; Song, P.; Tan, J.; Liu, Z.; He, B.",IEEE Transactions on Geoscience and Remote Sensing
Inverse,journalArticle,2023,Physics-Guided Unsupervised Deep-Learning Seismic Inversion With Uncertainty Quantification,"Zhang, Y.; Singh, S.; Thanoon, D.; Devarakota, P.; Jin, L.; Tsvankin, I.",Journal of Seismic Exploration
Forward,journalArticle,2023,Rapid Seismic Waveform Modeling and Inversion With Neural Operators,"Yang, Y.; Gao, A.F.; Azizzadenesheli, K.; Clayton, R.W.; Ross, Z.E.",IEEE Transactions on Geoscience and Remote Sensing
Inverse,journalArticle,2023,Seismic Inversion Based on Acoustic Wave Equations Using Physics-Informed Neural Network,"Zhang, Yijie; Zhu, Xueyu; Gao, Jinghuai",IEEE Transactions on Geoscience and Remote Sensing
