"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XK6KB98J","preprint","2024","Huang, Xinquan; Wang, Fu; Alkhalifah, Tariq","Diffusion-based subsurface multiphysics monitoring and forecasting","","","","10.48550/arXiv.2407.18426","http://arxiv.org/abs/2407.18426","Carbon capture and storage (CCS) plays a crucial role in mitigating greenhouse gas emissions, particularly from industrial outputs. Using seismic monitoring can aid in an accurate and robust monitoring system to ensure the effectiveness of CCS and mitigate associated risks. However, conventional seismic wave equation-based approaches are computationally demanding, which hinders real-time applications. In addition to efficiency, forecasting and uncertainty analysis are not easy to handle using such numerical-simulation-based approaches. To this end, we propose a novel subsurface multiphysics monitoring and forecasting framework utilizing video diffusion models. This approach can generate high-quality representations of CO$2$ evolution and associated changes in subsurface elastic properties. With reconstruction guidance, forecasting and inversion can be achieved conditioned on historical frames and/or observational data. Meanwhile, due to the generative nature of the approach, we can quantify uncertainty in the prediction. Tests based on the Compass model show that the proposed method successfully captured the inherently complex physical phenomena associated with CO$_2$ monitoring, and it can predict and invert the subsurface elastic properties and CO$_2$ saturation with consistency in their evolution.","2024-07-25","2024-09-04 19:57:13","2024-09-16 05:02:33","2024-09-04 19:57:13","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 27 - No","","C:\Users\orincon\Zotero\storage\BVERLUKC\Huang et al. - 2024 - Diffusion-based subsurface multiphysics monitoring.pdf; C:\Users\orincon\Zotero\storage\G6GPXBWN\2407.html","","","Computer Science - Machine Learning; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2407.18426","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZIRW2WS","preprint","2019","Vamaraju, Janaki; Vila, Jeremy; Araya-Polo, Mauricio; Datta, Debanjan; Sidahmed, Mohamed; Sen, Mrinal","Accelerating Least Squares Imaging Using Deep Learning Techniques","","","","10.48550/arXiv.1911.06027","http://arxiv.org/abs/1911.06027","Wave equation techniques have been an integral part of geophysical imaging workflows to investigate the Earth's subsurface. Least-squares reverse time migration (LSRTM) is a linearized inversion problem that iteratively minimizes a misfit functional as a function of the model perturbation. The success of the inversion largely depends on our ability to handle large systems of equations given the massive computation costs. The size of the system almost exponentially increases with the demand for higher resolution images in complicated subsurface media. We propose an unsupervised deep learning approach that leverages the existing physics-based models and machine learning optimizers to achieve more accurate and cheaper solutions. We compare different optimizers and demonstrate their efficacy in mitigating imaging artifacts. Further, minimizing the Huber loss with mini-batch gradients and Adam optimizer is not only less memory-intensive but is also more robust. Our empirical results on synthetic, densely sampled datasets suggest faster convergence to an accurate LSRTM result than a traditional approach.","2019-12-09","2024-09-04 19:56:48","2024-09-16 05:01:25","2024-09-04 19:56:48","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 26 - No","","C:\Users\orincon\Zotero\storage\98SVRXNZ\Vamaraju et al. - 2019 - Accelerating Least Squares Imaging Using Deep Lear.pdf; C:\Users\orincon\Zotero\storage\FDIZVII6\1911.html","","","Physics - Computational Physics; Physics - Geophysics; Electrical Engineering and Systems Science - Image and Video Processing","","","","","","","","","","","","","","","","","","","arXiv:1911.06027","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWFA27MK","preprint","2024","Yang, Junhuan; Wang, Hanchen; Sheng, Yi; Lin, Youzuo; Yang, Lei","A Physics-guided Generative AI Toolkit for Geophysical Monitoring","","","","10.48550/arXiv.2401.03131","http://arxiv.org/abs/2401.03131","Full-waveform inversion (FWI) plays a vital role in geoscience to explore the subsurface. It utilizes the seismic wave to image the subsurface velocity map. As the machine learning (ML) technique evolves, the data-driven approaches using ML for FWI tasks have emerged, offering enhanced accuracy and reduced computational cost compared to traditional physics-based methods. However, a common challenge in geoscience, the unprivileged data, severely limits ML effectiveness. The issue becomes even worse during model pruning, a step essential in geoscience due to environmental complexities. To tackle this, we introduce the EdGeo toolkit, which employs a diffusion-based model guided by physics principles to generate high-fidelity velocity maps. The toolkit uses the acoustic wave equation to generate corresponding seismic waveform data, facilitating the fine-tuning of pruned ML models. Our results demonstrate significant improvements in SSIM scores and reduction in both MAE and MSE across various pruning ratios. Notably, the ML model fine-tuned using data generated by EdGeo yields superior quality of velocity maps, especially in representing unprivileged features, outperforming other existing methods.","2024-01-06","2024-09-04 19:55:21","2024-09-12 00:22:32","2024-09-04 19:55:21","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 23 - No","","C:\Users\orincon\Zotero\storage\CWUX5VCB\Yang et al. - 2024 - A Physics-guided Generative AI Toolkit for Geophys.pdf; C:\Users\orincon\Zotero\storage\Y3B6R9K2\2401.html","","","Computer Science - Machine Learning; Computer Science - Artificial Intelligence; Physics - Geophysics; Computer Science - Computer Vision and Pattern Recognition; Electrical Engineering and Systems Science - Signal Processing","","","","","","","","","","","","","","","","","","","arXiv:2401.03131","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4SPKLKY","journalArticle","2022","Rasht-Behesht, Majid; Huber, Christian; Shukla, Khemraj; Karniadakis, George Em","Physics-informed Neural Networks (PINNs) for Wave Propagation and Full Waveform Inversions","Journal of Geophysical Research: Solid Earth","","2169-9313, 2169-9356","10.1029/2021JB023120","http://arxiv.org/abs/2108.12035","We propose a new approach to the solution of the wave propagation and full waveform inversions (FWIs) based on a recent advance in deep learning called Physics-Informed Neural Networks (PINNs). In this study, we present an algorithm for PINNs applied to the 2D acoustic wave equation and test the model with both forward wave propagation and FWIs case studies. These synthetic case studies are designed to explore the ability of PINNs to handle varying degrees of structural complexity using both teleseismic plane waves and seismic point sources. PINNs meshless formalism allows for a flexible implementation of the wave equation and different types of boundary conditions. For instance, our models demonstrate that PINN automatically satisfies absorbing boundary conditions, a serious computational challenge for common wave propagation solvers. Furthermore, a priori knowledge of the subsurface structure can be seamlessly encoded in PINNs formulation. We find that the current state-of-the-art PINNs provide good results for the forward model, even though spectral element or finite difference methods are more efficient and accurate. More importantly, our results demonstrate that PINNs yield excellent results for inversions on all cases considered and with limited computational complexity. Using PINNs as a geophysical inversion solver offers exciting perspectives, not only for the full waveform seismic inversions, but also when dealing with other geophysical datasets (e.g., magnetotellurics, gravity) as well as joint inversions because of its robust framework and simple implementation.","2022-05","2024-09-04 19:45:37","2024-09-11 22:50:42","2024-09-04 19:45:37","e2021JB023120","","5","127","","JGR Solid Earth","","","","","","","","","","","","","arXiv.org","","Preprint - 11 - duplicated","","C:\Users\orincon\Zotero\storage\AMM86YQ2\Rasht-Behesht et al. - 2022 - Physics-informed Neural Networks (PINNs) for Wave .pdf; C:\Users\orincon\Zotero\storage\7WJRNFCD\2108.html","","","Physics - Computational Physics; Physics - Geophysics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZX6D5EPD","preprint","2022","Wu, Yanqi; Aghamiry, Hossein S.; Operto, Stephane; Ma, Jianwei","Wave simulation in non-smooth media by PINN with quadratic neural network and PML condition","","","","10.48550/arXiv.2208.08276","http://arxiv.org/abs/2208.08276","Frequency-domain simulation of seismic waves plays an important role in seismic inversion, but it remains challenging in large models. The recently proposed physics-informed neural network (PINN), as an effective deep learning method, has achieved successful applications in solving a wide range of partial differential equations (PDEs), and there is still room for improvement on this front. For example, PINN can lead to inaccurate solutions when PDE coefficients are non-smooth and describe structurally-complex media. In this paper, we solve the acoustic and visco-acoustic scattered-field wave equation in the frequency domain with PINN instead of the wave equation to remove source singularity. We first illustrate that non-smooth velocity models lead to inaccurate wavefields when no boundary conditions are implemented in the loss function. Then, we add the perfectly matched layer (PML) conditions in the loss function of PINN and design a quadratic neural network to overcome the detrimental effects of non-smooth models in PINN. We show that PML and quadratic neurons improve the results as well as attenuation and discuss the reason for this improvement. We also illustrate that a network trained during a wavefield simulation can be used to pre-train the neural network of another wavefield simulation after PDE-coefficient alteration and improve the convergence speed accordingly. This pre-training strategy should find application in iterative full waveform inversion (FWI) and time-lag target-oriented imaging when the model perturbation between two consecutive iterations or two consecutive experiments can be small.","2022-09-27","2024-09-04 19:14:47","2024-09-11 20:12:31","2024-09-04 19:14:47","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","Preprint - 2 - No","","C:\Users\orincon\Zotero\storage\TN3CX3YH\Wu et al. - 2022 - Wave simulation in non-smooth media by PINN with q.pdf; C:\Users\orincon\Zotero\storage\7ADNSU4W\2208.html","","","Computer Science - Machine Learning; Physics - Geophysics","","","","","","","","","","","","","","","","","","","arXiv:2208.08276","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T69Y4ZDG","preprint","2024","Ding, Yi; Su, Chen; Miyake, Hiroe; Li, Xiaojun","Physics-Informed Neural Networks with Fourier Features for Seismic Wavefield Simulation in Time-Domain Nonsmooth Complex Media","","","","10.2139/ssrn.4902158","https://papers.ssrn.com/abstract=4902158","Physics-informed neural networks (PINNs) have great potential for flexibility and effectiveness in forward modeling and inversion of seismic waves. However, coordinate-based neural networks (NNs) commonly suffer from the ""spectral bias"" pathology, which greatly limits their ability to model high-frequency wave propagation in sharp and complex media. We propose a unified framework of Fourier feature physics-informed neural networks (FF-PINNs) for solving the time-domain wave equations. The proposed framework combines the stochastic gradient descent (SGD) strategy with a pre-trained wave velocity surrogate model to mitigate the singularity at the point source. The performance of the activation functions and gradient descent strategies are discussed through ablation experiments. In addition, we evaluate the accuracy comparison of Fourier feature mappings sampled from different families of distributions (Gaussian, Laplace, and uniform). The second-order paraxial approximation-based boundary conditions are incorporated into the loss function as a soft regularizer to eliminate spurious boundary reflections. Through the non-smooth Marmousi and Overthrust model cases, we emphasized the necessity of the absorbing boundary conditions (ABCs) constraints. The results of a series of numerical experiments demonstrate the accuracy and effectiveness of the proposed method for modeling high-frequency wave propagation in sharp and complex media.","2024-07-23","2024-09-04 19:13:59","2024-09-11 20:08:09","2024-09-04 19:13:59","","","","","","","","","","","","","Rochester, NY","en","","SSRN Scholarly Paper","","","Social Science Research Network","","Preprint - 1 - No","","C:\Users\orincon\Zotero\storage\YWC6ZVSP\Ding et al. - 2024 - Physics-Informed Neural Networks with Fourier Feat.pdf","","","Physics-informed neural networks; Seismic wave propagation simulation; Absorbing boundary conditions; Fourier feature neural networks; Spectral bias","","","","","","","","","","","","","","","","","","","4902158","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44BWP22U","conferencePaper","2023","Wu, Y.; Aghamiry, H.; Operto, S.; Ma, J.","Frequency-Domain Wave Simulation Using Physics-Informed Neural Networks (PINNs) with Free Surface Boundary Condition","84th EAGE Annual Conference & Exhibition","","","10.3997/2214-4609.202310403","https://www.earthdoc.org/content/papers/10.3997/2214-4609.202310403","Frequency-domain simulation of seismic waves plays an important role in seismic inversion, but it remains challenging in large models. The recently proposed physics-informed neural networks (PINNs), as an effective deep learning method, have achieved successful applications in solving a wide range of partial differential equations (PDEs), although there is still room for improvement on this front. We solve the acoustic and visco-acoustic scattered-field (Lippmann-Schwinger) wave equation in the frequency domain with PINN. We propose a new hard constraint method to implement the free surface boundary conditions in the loss function of PINN. We illustrate that PINN with hard constraint has a higher accuracy than weak constraint method. We design a new neural network by adding quadratic terms. The new neural network dramatically improves the capacity and flexibility to represent complex solutions. © 2023 84th EAGE Annual Conference and Exhibition. All rights reserved.","2023","2024-08-23 02:26:17","2024-08-28 16:25:09","2024-08-23 02:26:17","1-5","","","","","","","","","","","European Association of Geoscientists & Engineers","Vienna, Austria,","en","","","","","DOI.org (Crossref)","","17 - No","","C:\Users\orincon\Zotero\storage\XG4MQJLR\display.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84th EAGE Annual Conference & Exhibition","","","","","","","","","","","","","","",""
"JPQF7E55","journalArticle","2019","Yu, S.; Ma, J.; Wang, W.","Deep learning for denoising","Geophysics","","","10.1190/geo2018-0668.1","","Compared with traditional seismic noise attenuation algorithms that depend on signal models and their corresponding prior assumptions, removing noise with a deep neural network is trained based on a large training set in which the inputs are the raw data sets and the corresponding outputs are the desired clean data. After the completion of training, the deep-learning (DL) method achieves adaptive denoising with no requirements of (1) accurate modelings of the signal and noise or (2) optimal parameters tuning. We call this intelligent denoising. We have used a convolutional neural network (CNN) as the basic tool for DL. In random and linear noise attenuation, the training set is generated with artificially added noise. In the multiple attenuation step, the training set is generated with the acoustic wave equation. The stochastic gradient descent is used to solve the optimal parameters for the CNN. The runtime of DL on a graphics processing unit for denoising has the same order as the f-x deconvolution method. Synthetic and field results indicate the potential applications of DL in automatic attenuation of random noise (with unknown variance), linear noise, and multiples. © 2019 Society of Exploration Geophysicists.","2019","2024-08-24 15:59:51","2024-08-28 15:58:56","","V333-V350","","6","84","","","","","","","","","","","","","Scopus","","Scopus","","27 - No","","C:\Users\orincon\Zotero\storage\6FZGMEGK\display.html; C:\Users\orincon\Zotero\storage\GNKR6L6D\Yu et al. - 2019 - Deep learning for denoising.pdf","","","neural networks; artificial intelligence; noise; signal processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBJA37B6","conferencePaper","2020","Stuart, G.K.; Minkoff, S.E.; Pereira, F.","Enhanced neural network sampling for two-stage Markov chain Monte Carlo seismic inversion","","","","10.1190/segam2019-3215402.1","","Monte Carlo techniques for seismic inversion are effective at producing high-quality uncertainty information about model parameters while reducing the number of assumptions required by non-stochastic full waveform inversion algorithms. However, Monte Carlo techniques are computationally expensive since they require repeated solution of the wave equation for each proposed velocity model. One approach to reduce the computational expense is two-stage Markov chain Monte Carlo (MCMC), wherein a computationally inexpensive filter is used to quickly reject unacceptable models. This filter reduces the number of models that must be tested using the full fine-grid forward solver. Often, coarse-grid formulations of the forward problems are used in the filter stage. We instead use a neural network to replace the expensive computation of the residual directly. In addition, we train the neural network as part of the MCMC process, bypassing the need to generate separate training data outside of the MCMC process. We find that the neural network two-stage MCMC (NNMCMC) substantially reduces the time-per-trial and time-per-rejection by 65% and 84%, respectively, when compared with the one-stage MCMC. Furthermore, NNMCMC increases the acceptance rate to 86% from 29% over the one-stage MCMC. © 2019 SEG","2020","2024-08-24 16:40:56","2024-08-28 00:05:44","","1670-1674","","","","","","","","","","","","","","","","Scopus","","Scopus","","58 - Duplicado","","C:\Users\orincon\Zotero\storage\PKHJLESA\display.html; C:\Users\orincon\Zotero\storage\2A3XQSIE\Stuart et al. - 2020 - Enhanced neural network sampling for two-stage Mar.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SEG International Exposition and Annual Meeting 2019","","","","","","","","","","","","","","",""
"5FAHLKDJ","conferencePaper","2020","Chen, Y.; Saygin, E.; Schuster, G.T.","Seismic inversion by multi-dimensional newtonian machine learning","","","","10.1190/segam2020-3425975.1","","Newtonian machine learning (NML) inversion has been shown to accurately recover the low-to-intermediate wavenumber information of subsurface velocity models. This method uses the wave-equation inversion kernel to invert the skeletonized data that is automatically learned by an autoencoder. The skeletonised data is a one-dimensional latent-space representation of the seismic trace. However, for a complicated dataset, the decoded waveform could lose some details if the latent space dimension is set to one, which leads to a low-resolution NML tomogram. To mitigate this problem, an autoencoder with a higher dimensional latent space is needed to encode and decode the seismic data. In this paper, we present a wave equation inversion that inverts the multi-dimensional latent variables of an autoencoder for the subsurface velocity model. The multi-variable implicit function theorem is used to determine the perturbation of the multi-dimensional skeletonised data with respect to the velocity perturbations. In this case, each dimension of the latent variable is characterized one gradient and the velocity model is updated by the weighted sum of all these gradients. Numerical results suggest that the multidimensional NML inverted result can achieve a higher resolution in the tomogram compared to the conventional single dimensional NML inversion. © 2020 Society of Exploration Geophysicists.","2020","2024-08-24 17:38:08","2024-08-26 17:23:45","","1691-1694","","","2020-October","","","","","","","","","","","","","Scopus","","Scopus","","84 - No","","C:\Users\orincon\Zotero\storage\UTM9WKE4\display.html; C:\Users\orincon\Zotero\storage\JY8HQM28\Chen et al. - 2020 - Seismic inversion by multi-dimensional newtonian m.pdf","","","Machine learning; Inversion; Wave equation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SEG Technical Program Expanded Abstracts","","","","","","","","","","","","","","",""
