paper
1. Moseley et al. (2020)
2. Song & Wang (2023)
3. Yang et al. (2023)
4. Song & Wang (2022)
5. Das et al. (2018)
6. Ji et al. (2024)
7. Roncoroni et al. (2021)
8. Xiong et al. (2022)
9. Zou et al. (2024)
10. Lehmann et al. (2024)
11. Mosser et al. (2020)
12. Karimpouli & Tahmasebi (2020)
13. Wang et al. (2018)
14. Ren et al. (2020)
15. Yang et al. (2021)
16. Cao et al. (2020)
17. Zhang et al. (2023)
18. Xu et al. (2019)
19. Auriol et al. (2021)
20. Dhara & Sen (2022)
21. Gelboim et al. (2023)
22. Fang et al. (2024)
23. Gao et al. (2024)
24. Fu et al. (2019)
25. Freitas et al. (2021)
26. Hateley et al. (2019)
27. Yang & Ma (2021)
28. Feng et al. (2022)
29. Zhang et al. (2023)
30. Brandolin et al. (2024)
31. Guo et al. (2024)
32. Wang et al. (2023)
33. Yu et al. (2023)
34. Lu & Zhang (2023)
35. Zou et al.(2023)
36. Farris & (2023)
37. Alfarhan et al. (2024)
38. Campos et al. (2019)
39. Zhang et al. (2023)
40. Park et al. (2024)
41. Huang et al. (2022)
42. Zhang et al. (2024)
43. Lahivaara et al. (2022)
44. Huang et al.(2020)
