id	label	description	url	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
1	das (2018)	"<table><tr><td>Authors:</td><td>das, saptarshi; chen, xi; hobson, michael p.; phadke, suhas; van beest, bertwim; goudswaard, jeroen; hohl, detlef</td></tr><tr><td>Title:</td><td>surrogate regression modelling for fast seismogram generation and detection of microseismic events in heterogeneous velocity models</td></tr><tr><td>Source:</td><td>geophysical journal international, 215(2), 1257-1290</td></tr><tr><td>Year:</td><td>2018</td></tr></table>"	https://doi.org/10.1093/gji/ggy283	-0.728	-0.3169	1	3	3	8	0.3404	2018	8	0.3404
2	song (2023)	"<table><tr><td>Authors:</td><td>song, chao; wang, yanghua</td></tr><tr><td>Title:</td><td>simulating seismic multifrequency wavefields with the fourier feature physics-informed neural network</td></tr><tr><td>Source:</td><td>geophysical journal international, 232(3), 1503-1514</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1093/gji/ggac399	0.4085	-0.2131	3	27	62	79	2.7773	2023	79	2.7773
3	roncoroni (2021)	"<table><tr><td>Authors:</td><td>roncoroni, g.; fortini, c.; bortolussi, l.; bienati, n.; pipan, m.</td></tr><tr><td>Title:</td><td>synthetic seismic data generation with deep learning</td></tr><tr><td>Source:</td><td>journal of applied geophysics, 190</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1016/j.jappgeo.2021.104347	0.1583	-0.1333	2	11	12	5	0.1923	2021	5	0.1923
4	karimpouli (2020)	"<table><tr><td>Authors:</td><td>karimpouli, sadegh; tahmasebi, pejman</td></tr><tr><td>Title:</td><td>physics informed machine learning: seismic wave equation</td></tr><tr><td>Source:</td><td>geoscience frontiers, 11(6), 1993-2001</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1016/j.gsf.2020.07.007	-0.2327	-0.2109	1	16	23	154	1.878	2020	154	1.878
5	freitas (2021)	"<table><tr><td>Authors:</td><td>freitas, rodolfo s. m.; barbosa, carlos h. s.; guerra, gabriel m.; coutinho, alvaro l. g. a.; rochinha, fernando a.</td></tr><tr><td>Title:</td><td>an encoder-decoder deep surrogate for reverse time migration in seismic imaging under uncertainty</td></tr><tr><td>Source:</td><td>computational geosciences, 25(3), 1229-1250</td></tr><tr><td>Year:</td><td>2021</td></tr></table>"	https://doi.org/10.1007/s10596-021-10052-3	-0.7283	-0.265	1	8	11	5	0.1923	2021	5	0.1923
6	ren (2020)	"<table><tr><td>Authors:</td><td>ren, yuxiao; xu, xinji; yang, senlin; nie, lichao; chen, yangkang</td></tr><tr><td>Title:</td><td>a physics-based neural-network way to perform seismic full waveform inversion</td></tr><tr><td>Source:</td><td>ieee access, 8, 112266-112277</td></tr><tr><td>Year:</td><td>2020</td></tr></table>"	https://doi.org/10.1109/access.2020.2997921	-0.7536	-0.0541	1	20	36	75	0.9146	2020	75	0.9146
7	gelboim (2023)	"<table><tr><td>Authors:</td><td>gelboim, maayan; adler, amir; sun, yen; araya-polo, mauricio</td></tr><tr><td>Title:</td><td>encoder–decoder architecture for 3d seismic inversion</td></tr><tr><td>Source:</td><td>sensors, 23(1)</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.3390/s23010061	-0.7255	-0.0026	1	19	34	16	0.5625	2023	16	0.5625
8	farris (2023)	"<table><tr><td>Authors:</td><td>farris, stuart; clapp, robert</td></tr><tr><td>Title:</td><td>bridging the gap: deep learning on seismic field data with synthetic training for building gulf of mexico velocity models</td></tr><tr><td>Source:</td><td>seg technical program expanded abstracts, 2023-august, 945-949</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.1190/image2023-3905650.1	-0.6731	0.0586	1	14	23	1	0.0352	2023	1	0.0352
9	fang (2024)	"<table><tr><td>Authors:</td><td>fang, zhijian; ba, jing; guo, qiang; xiong, fansheng</td></tr><tr><td>Title:</td><td>shear-wave velocity prediction of tight reservoirs based on poroelasticity theory: a comparative study of deep neural network and rock physics model</td></tr><tr><td>Source:</td><td>geoenergy science and engineering, 240</td></tr><tr><td>Year:</td><td>2024</td></tr></table>"	https://doi.org/10.1016/j.geoen.2024.213028	0.1318	-0.0727	2	13	14	5	0.2941	2024	5	0.2941
10	lu (2023)	"<table><tr><td>Authors:</td><td>lu, cai; zhang, chunlong</td></tr><tr><td>Title:</td><td>seismic velocity inversion via physical embedding recurrent neural networks (rnn)</td></tr><tr><td>Source:</td><td>applied sciences (switzerland), 13(24)</td></tr><tr><td>Year:</td><td>2023</td></tr></table>"	https://doi.org/10.3390/app132413312	0.2106	0.2863	2	19	31	5	0.1758	2023	5	0.1758
